Frame,LEFT_FOOT,LEFT_KNEE,LEFT_HIP,RIGHT_HIP,RIGHT_KNEE,RIGHT_FOOT,PELVIS,TORSO,NECK,HEAD,LEFT_WRIST,LEFT_ELBOW,LEFT_SHOULDER,RIGHT_SHOULDER,RIGHT_ELBOW,RIGHT_WRIST
31,"[244, 330]","[212, 300]","[242, 258]","[414, 215]","[452, 297]","[314, 364]","[327, 239]","[307, -21]","[299, -17]","[247, -73]","[67, 251]","[127, 116]","[219, -52]","[407, -45]","[507, 67]","[440, 246]"
32,"[278, 353]","[444, 234]","[362, 120]","[416, 186]","[485, 271]","[486, 368]","[379, 185]","[331, -72]","[328, -73]","[329, -72]","[462, 26]","[318, -8]","[382, -72]","[294, -72]","[328, 0]","[344, 78]"
33,"[249, 395]","[412, 284]","[269, 223]","[411, 199]","[476, 279]","[270, 403]","[339, 195]","[308, -18]","[278, -46]","[239, -72]","[301, 74]","[285, 16]","[360, -48]","[267, -34]","[268, -2]","[200, 12]"
34,"[259, 384]","[433, 261]","[347, 203]","[380, 219]","[436, 324]","[285, 392]","[350, 204]","[325, -17]","[309, -53]","[357, -70]","[599, 158]","[376, 62]","[434, -20]","[320, -24]","[240, 81]","[299, 82]"
35,"[282, 322]","[412, 253]","[346, 191]","[431, 206]","[537, 266]","[212, 332]","[373, 196]","[376, -19]","[375, -21]","[397, -46]","[537, 124]","[474, 6]","[468, -58]","[353, -27]","[277, 22]","[248, 34]"
36,"[288, 368]","[284, 313]","[361, 206]","[478, 213]","[560, 318]","[427, 381]","[425, 209]","[405, 0]","[389, -9]","[338, -69]","[354, 61]","[396, 13]","[461, -21]","[413, 14]","[400, 112]","[292, 15]"
37,"[103, 345]","[416, 289]","[474, 176]","[374, 167]","[214, 290]","[213, 406]","[428, 178]","[428, 27]","[422, 43]","[433, -67]","[489, 115]","[553, 174]","[531, 23]","[304, 16]","[283, 68]","[297, 65]"
38,"[144, 336]","[308, 249]","[359, 175]","[475, 186]","[423, 279]","[309, 362]","[416, 181]","[405, -48]","[399, -63]","[386, -71]","[256, 167]","[273, 127]","[394, -62]","[435, -12]","[522, 176]","[388, 109]"
39,"[156, 253]","[384, 53]","[262, 229]","[381, 169]","[471, 121]","[337, 193]","[317, 225]","[326, -21]","[330, 4]","[299, -48]","[165, 209]","[162, 163]","[275, 15]","[394, 22]","[378, 162]","[319, 186]"
40,"[223, 470]","[331, 355]","[277, 167]","[163, 172]","[134, 368]","[93, 490]","[223, 170]","[221, -53]","[223, -68]","[229, -73]","[421, 252]","[405, 82]","[340, -51]","[126, -64]","[46, 90]","[169, 224]"
41,"[44, 303]","[115, 292]","[166, 197]","[253, 206]","[251, 368]","[173, 479]","[218, 194]","[204, -38]","[193, -48]","[306, -73]","[45, 217]","[38, 79]","[93, -49]","[301, -51]","[384, 105]","[411, 228]"
42,"[165, 479]","[143, 405]","[156, 242]","[274, 233]","[277, 424]","[286, 512]","[226, 234]","[246, -23]","[238, -64]","[261, -74]","[60, 219]","[107, 105]","[167, -23]","[319, -19]","[385, 126]","[365, 227]"
43,"[319, 400]","[149, 384]","[164, 237]","[269, 230]","[288, 400]","[425, 409]","[220, 232]","[224, 2]","[216, -25]","[187, -73]","[69, 247]","[111, 128]","[137, 6]","[315, 1]","[345, 136]","[354, 262]"
44,"[163, 450]","[188, 382]","[161, 242]","[253, 245]","[243, 402]","[319, 375]","[207, 239]","[193, 24]","[190, -7]","[178, -73]","[61, 261]","[92, 133]","[118, 30]","[274, 26]","[317, 150]","[336, 277]"
